"","mtabName","0","2","4","6","8","10","12","14","16","18","20","22","24","26","28","30","32","34","36","38","40","42","44","46"
"1","3-methyl-2-oxobutanoic acid",2.01776459286235,0,0.746718245341017,0,0.633322399956535,2.23158623011534,1.61684355457781,2.09166998372861,1.04232279154843,2.19581768482896,1.15748734635899,0.995356502262391,0,0.356058217854466,0.729001544849612,1.25718649163375,0.627965732887186,2.58073883445124,1.13942163502171,1.47300439464636,1.06945571359304,1.34553565963067,2.04880038189222,1.5013169504899
"2","4-hydroxybenzoic acid",0.569343792249895,0.160350918714118,0.50601839561767,0.244836380693893,0.53650441694266,0.433600287825284,0.238262826057428,0,0.0636308432147644,0,0.096172308993474,0,0.0599252266662991,0.0966028661483176,0.11339322358939,0.179591138244095,0.179631666758657,0.493143414536817,0.197993710385583,0.156596809606034,0.0832336263355554,0.0516150994710433,0.0785341124071612,0.0457899223642609
"3","MTA",0.530317488984217,0.623833389635774,0.878384127845893,0.813059748312924,1.020233773409,0.71749777540764,0.43124230098737,0.5781889898422,0.43248126019695,0.803497126312055,0.415252262415258,0.700528504289231,0.755727999383865,0.806781220268358,0.87155361884884,0.967276761615684,0.82558941738382,1.06183411024525,0.417045615221533,0.545944648038473,0.453377329759013,0.50605399270534,0.365104324576324,0.828996308969402
"4","NAD",14.4453412739323,11.2734715863855,25.7281745600497,26.6175667248324,45.8146858652836,37.8495636276359,39.5944091834592,39.7223321845206,27.6342627968081,47.4598688001092,20.2712609922807,12.6701765858403,24.4085312050904,38.04831940955,23.4385149092011,22.8898770248941,39.3920373243126,81.4888586459847,28.8020460707846,35.8650892665976,35.5340528410941,32.4372652034782,19.5135995094208,24.6037043802869
"5","NADP",2.40824259400111,2.87802515905355,4.71889303985518,3.14860033367919,7.73695497405677,4.89481827419167,0,4.06319815720738,2.87340178131902,8.5449130329341,2.78229665928495,3.90778242228043,4.85899776701278,8.36741394940569,8.86075522432499,5.21222955601846,8.9134093811471,13.5939383584574,5.00063279370121,4.45712649328165,6.36323328325637,4.78392817236903,3.94226128503572,6.73755230743525
"6","T_90to30",0,0,0,14.7051994395177,17.7499388932154,0,19.8282686266298,0,11.9028476804766,15.7808693018541,13.7186949615557,0,10.540875094191,14.6739244796375,11.8865826643525,15.5922696349078,14.2231085625082,0,0,0,4.85748510043999,0,6.66419993945813,0
"7","T_90to62",0,231.549709098102,271.909757418869,600.4085239743,606.065236192448,505.072929473014,652.244638822556,506.341646751109,442.954022724932,555.241333450675,504.211784230829,459.528327485031,570.299990397204,1074.17676341918,681.256747308739,688.691540611528,861.347236016275,151.993681976882,93.3905722294263,88.3177589242975,214.893025603149,229.057614068915,280.768015177718,104.839327478721
"8","UDP-glucose",2.53764621005083,3.85904584797341,1.76549095417943,5.63234646532388,4.79844271103089,4.04253895218616,0,0,1.52495670708102,3.03299966704017,1.64122658046863,0,1.90631517532537,7.45867798756286,2.63469933284962,2.74277473352376,4.41679147741786,2.96352532103763,0.633345136720725,0.953321761534656,1.45603671006951,0.597275003444396,0.583501302700548,1.12241402849242
"9","adenine pos",0,0,0,0.881527624602692,1.05625766494601,0.932536923532372,0,0,0,1.85591368417045,0.76455675810981,0.850788132903931,0.959118286062118,2.1445883717573,1.20108524266984,0.81960188181496,2.30430747480826,1.3048718793463,0.752928660025626,1.02219087587595,1.68164375866808,1.27979631439098,0.654031406490919,1.09243843639722
"10","adenosine 5'-monophosphate pos",15.2770821919339,14.6118694366753,31.9022176246995,20.116595410519,20.435406228063,13.3549643855352,11.4218128831884,9.04459936717562,9.91366422745522,20.686899719313,6.70026121169677,30.1695261630118,22.0922935736657,58.1382117862486,41.9510889107662,14.4506847421826,51.0041547592447,25.6507483100436,6.06109321810853,9.82654088905462,21.0386270389704,14.7887377633293,15.285176844171,36.9635625214899
"11","alpha-ketoglutaric acid",0,0,0,13.1352180230859,7.47297699118375,0,0,0,6.29666702094346,10.4822507185358,0,8.19203918875438,0,12.0816575333951,4.48582954973417,0,11.0279154772212,4.99927648122988,0,0,2.43249144995125,1.20058622681484,14.4010412756495,7.5091750649855
"12","aspartic acid neg",0,2.33838220816518,2.05366538238484,2.60693158492234,7.78887787723319,3.34330557515353,0,2.24105956223003,2.9982231284669,4.78388093922592,1.40357135262026,1.97744977023288,0,8.52714651909825,0,3.14300940268634,9.20654032112402,0,0,5.62969257455486,4.2979123559106,2.46657893157208,2.00409074408235,1.00611703957328
"13","citric acid",24.6806244759429,59.570357138313,39.3181760397708,51.4645352292787,75.3423910866008,81.2365544511167,76.8029935668718,89.3889382436014,83.909093082994,165.377210397834,83.9603349528758,68.1753758654025,67.3571232405978,104.369179061176,48.537311881209,44.4727289245845,113.469048214094,174.944619262239,46.8364289972554,66.9610308050315,125.68752526232,91.569148935053,133.563839122819,113.961420990741
"14","citrulline",0.732048567105217,1.9760666358796,1.93305681711166,3.26546156452514,6.01817204126283,5.03284069411308,5.37363057575715,5.48411772571857,4.83099553055493,6.16058546574827,2.70476838457137,1.82274791679397,1.83127687491295,5.3545093908291,3.4712477486247,2.92386899903886,6.87450040388994,9.35200668338644,2.91790817119571,5.55504871142062,4.48908229220691,2.7228546417153,2.29449170443154,1.42340996346124
