"mtabName","T0_mean","T0_sd","T2_mean","T2_sd","T4_mean","T4_sd","T6_mean","T6_sd","T8_mean","T8_sd","T10_mean","T10_sd","T12_mean","T12_sd","T14_mean","T14_sd","T16_mean","T16_sd","T18_mean","T18_sd","T20_mean","T20_sd","T22_mean","T22_sd","T24_mean","T24_sd","T26_mean","T26_sd","T28_mean","T28_sd","T30_mean","T30_sd","T32_mean","T32_sd","T34_mean","T34_sd","T36_mean","T36_sd","T38_mean","T38_sd","T40_mean","T40_sd","T42_mean","T42_sd","T44_mean","T44_sd","T46_mean","T46_sd"
"3-methyl-2-oxobutanoic acid",2.01776459286235,1.07661286004646,0,0,0.746718245341017,0.660929270069485,0,0,0.633322399956535,0.548724183626133,2.23158623011534,0.123096953835502,1.61684355457781,0.976990314643179,2.09166998372861,0.1974248757483,1.04232279154843,0.893140951893366,2.19581768482896,1.32666699405685,1.15748734635899,0.55846094336985,0.995356502262391,0.348439890954969,0,0,0.356058217854466,0.316476157041474,0.729001544849612,0.649126915623236,1.25718649163375,0.600144911767977,0.627965732887186,0.656598125525808,2.58073883445124,1.68951422096127,1.13942163502171,0.429825216511511,1.47300439464636,0.342933292305303,1.06945571359304,0.236574147718395,1.34553565963067,0.392594438012441,2.04880038189222,1.05395794140939,1.5013169504899,0.404747758384035
"4-hydroxybenzoic acid",0.569343792249895,0.384725240034363,0.160350918714118,0.0905200537372839,0.50601839561767,0.173672519142256,0.244836380693893,0.0372422113879576,0.53650441694266,0.0777730348682701,0.433600287825284,0.221509018093691,0.238262826057428,0.232508517893179,0,0,0.0636308432147644,0.0560191108613408,0,0,0.096172308993474,0.085620546789254,0,0,0.0599252266662991,0.0677943188059723,0.0966028661483176,0.0857526935356968,0.11339322358939,0.0982160661263999,0.179591138244095,0.159904706581661,0.179631666758657,0.0672424961610796,0.493143414536817,0.13058965818362,0.197993710385583,0.0739641623276698,0.156596809606034,0.0202242975519096,0.0832336263355554,0.0289508848970945,0.0516150994710433,0.0585448268455364,0.0785341124071612,0.0778063248261558,0.0457899223642609,0.0404152514811648
"MTA",0.530317488984217,0.479890524887619,0.623833389635774,0.135542431494764,0.878384127845893,0.0284257472211647,0.813059748312924,0.122787999414215,1.020233773409,0.423780677026606,0.71749777540764,0.156241631736505,0.43124230098737,0.383034652271053,0.5781889898422,0.0539558069983522,0.43248126019695,0.127849811305118,0.803497126312055,0.132957157333828,0.415252262415258,0.0860468641260041,0.700528504289231,0.043280311014538,0.755727999383865,0.0434919025858522,0.806781220268358,0.112518655863121,0.87155361884884,0.023008508155646,0.967276761615684,0.184685255583212,0.82558941738382,0.258853137419635,1.06183411024525,0.584936450010272,0.417045615221533,0.166256943196753,0.545944648038473,0.203832804942287,0.453377329759013,0.0791063090651261,0.50605399270534,0.144517352927373,0.365104324576324,0.217018070590429,0.828996308969402,0.212089501465745
"NAD",14.4453412739323,12.771934559621,11.2734715863855,9.85091072528134,25.7281745600497,3.5007910344893,26.6175667248324,0.941976488220765,45.8146858652836,5.29448228474461,37.8495636276359,0.488852350482866,39.5944091834592,9.13454707515733,39.7223321845206,3.28450896131229,27.6342627968081,1.14820787318495,47.4598688001092,4.64622236800586,20.2712609922807,3.65547660104759,12.6701765858403,11.0219880673761,24.4085312050904,6.60211422173865,38.04831940955,11.7635061791151,23.4385149092011,2.67582841357175,22.8898770248941,1.50641959233923,39.3920373243126,3.69402877917502,81.4888586459847,28.3304974820088,28.8020460707846,12.7770159216099,35.8650892665976,5.95632540542417,35.5340528410941,4.93431892699648,32.4372652034782,7.07730986767457,19.5135995094208,8.32933220764905,24.6037043802869,4.60373074640569
"NADP",2.40824259400111,2.12525708732351,2.87802515905355,0.766022242753373,4.71889303985518,1.79211842099707,3.14860033367919,2.27784291096381,7.73695497405677,4.45124328195529,4.89481827419167,0.318123245269071,0,0,4.06319815720738,1.18638108375431,2.87340178131902,1.15993779130817,8.5449130329341,2.59628099889823,2.78229665928495,1.27817292448777,3.90778242228043,2.67055727254327,4.85899776701278,0.0269713840708145,8.36741394940569,1.21412156254307,8.86075522432499,0.327989970826254,5.21222955601846,0.775918990738404,8.9134093811471,1.42471276216061,13.5939383584574,5.53673257964721,5.00063279370121,2.60125838089604,4.45712649328165,1.11361376645473,6.36323328325637,1.39831299286343,4.78392817236903,2.49985731681688,3.94226128503572,1.93346928026395,6.73755230743525,1.92052182043495
"T_90to30",0,0,0,0,0,0,14.7051994395177,14.5559814191453,17.7499388932154,15.4543300130593,0,0,19.8282686266298,8.10510401664733,0,0,11.9028476804766,10.6921006911884,15.7808693018541,14.17338148908,13.7186949615557,12.7599095170266,0,0,10.540875094191,9.41947669945256,14.6739244796375,12.8412612352843,11.8865826643525,12.1177266401322,15.5922696349078,6.33096326336314,14.2231085625082,15.2134441868899,0,0,0,0,0,0,4.85748510043999,6.04822124594912,0,0,6.66419993945813,3.47762711972836,0,0
"T_90to62",0,0,231.549709098102,210.721494427979,271.909757418869,249.499168775166,600.4085239743,571.749887088401,606.065236192448,558.667175409583,505.072929473014,496.632132713799,652.244638822556,571.502932966321,506.341646751109,455.020777434958,442.954022724932,413.243117815521,555.241333450675,480.880569493305,504.211784230829,455.869411975374,459.528327485031,435.563877572062,570.299990397204,136.892297674608,1074.17676341918,63.0527356929483,681.256747308739,239.066723725318,688.691540611528,379.91461159761,861.347236016275,466.827024269764,151.993681976882,165.418485495053,93.3905722294263,105.017544736408,88.3177589242975,90.4239691759264,214.893025603149,181.685386473934,229.057614068915,213.021228421585,280.768015177718,99.513801112544,104.839327478721,133.91555232815
"UDP-glucose",2.53764621005083,2.5514081062043,3.85904584797341,3.6945091134771,1.76549095417943,1.65323722970709,5.63234646532388,1.69767786919663,4.79844271103089,1.87416372874565,4.04253895218616,1.38798884750852,0,0,0,0,1.52495670708102,1.64415045236039,3.03299966704017,0.756496689626516,1.64122658046863,0.633960456950246,0,0,1.90631517532537,1.65542818862773,7.45867798756286,1.5311562257342,2.63469933284962,0.812167074225956,2.74277473352376,0.862003237677853,4.41679147741786,0.792088477751221,2.96352532103763,1.58814246778953,0.633345136720725,0.57508221770551,0.953321761534656,0.896305990479939,1.45603671006951,0.517114870471689,0.597275003444396,0.517895410263416,0.583501302700548,0.666726864046498,1.12241402849242,0.15557007314323
"adenine pos",0,0,0,0,0,0,0.881527624602692,0.776916495920306,1.05625766494601,0.958740433932571,0.932536923532372,0.81084541557797,0,0,0,0,0,0,1.85591368417045,0.450200408145836,0.76455675810981,0.74404870748148,0.850788132903931,0.737083114260365,0.959118286062118,0.263757685884538,2.1445883717573,0.526619549772162,1.20108524266984,1.04017230134427,0.81960188181496,0.710388186278654,2.30430747480826,0.253750836605187,1.3048718793463,1.37471298668725,0.752928660025626,0.112522413786812,1.02219087587595,0.781739670340209,1.68164375866808,0.0873422141680703,1.27979631439098,0.689445788089685,0.654031406490919,0.0912304240268944,1.09243843639722,0.402483243344284
"adenosine 5'-monophosphate pos",15.2770821919339,13.3158593602086,14.6118694366753,12.8307736613657,31.9022176246995,11.4435730529666,20.116595410519,4.35797051797384,20.435406228063,4.42650763093822,13.3549643855352,3.7086286576137,11.4218128831884,2.95922183285991,9.04459936717562,2.44474662747642,9.91366422745522,5.34055379535226,20.686899719313,7.87368466718592,6.70026121169677,5.86691267903164,30.1695261630118,10.9466913415164,22.0922935736657,21.4754129694503,58.1382117862486,15.7846221430694,41.9510889107662,20.8443240039379,14.4506847421826,12.6708250753708,51.0041547592447,43.0622408282714,25.6507483100436,5.77636535404332,6.06109321810853,6.86464134636813,9.82654088905462,10.890609061048,21.0386270389704,5.92208893887751,14.7887377633293,2.34066959825885,15.285176844171,9.1390418790978,36.9635625214899,6.21560995097677
"alpha-ketoglutaric acid",0,0,0,0,0,0,13.1352180230859,11.9788518929672,7.47297699118375,6.49314210046337,0,0,0,0,0,0,6.29666702094346,7.08500787867598,10.4822507185358,4.99602965371276,0,0,8.19203918875438,10.2231280420348,0,0,12.0816575333951,8.26045633178081,4.48582954973417,4.16026859125678,0,0,11.0279154772212,8.55495527112007,4.99927648122988,1.89900522693378,0,0,0,0,2.43249144995125,2.44250378381754,1.20058622681484,1.20756704557321,14.4010412756495,16.1189911409116,7.5091750649855,7.53227741001329
"aspartic acid neg",0,0,2.33838220816518,0.963963060262123,2.05366538238484,0.578744294185745,2.60693158492234,2.40447310192066,7.78887787723319,7.88640352458177,3.34330557515353,3.16069439374545,0,0,2.24105956223003,2.07539242462034,2.9982231284669,1.7067065766862,4.78388093922592,1.81672445947188,1.40357135262026,1.24121123631804,1.97744977023288,0.692690387631142,0,0,8.52714651909825,2.52886088275793,0,0,3.14300940268634,2.7651898653721,9.20654032112402,5.72227679120126,0,0,0,0,5.62969257455486,4.99433122626265,4.2979123559106,2.48631672174441,2.46657893157208,2.7969087126937,2.00409074408235,1.03134764527956,1.00611703957328,0.879571313691243
