"","cleanName","MW","r2_line","nPoints","LOD","LOQ","quantType","dilution_factor","n_timepoints","0A","0B","0C","2A","2B","2C","4A","4B","4C","6A","6B","6C","8A","8B","8C","10A","10B","10C","12A","12B","12C","14A","14B","14C","16A","16B","16C","18A","18B","18C","20A","20B","20C","22A","22B","22C","24A","24B","24C","26A","26B","26C","28A","28B","28C","30A","30B","30C","32A","32B","32C","34A","34B","34C","36A","36B","36C","38A","38B","38C","40A","40B","40C","42A","42B","42C","44A","44B","44C","46A","46B","46C"
"1","(6R)-5-6-7-8-tetrahydrobiopterin",314.17,0.991476079045295,6,34.9219858137103,105.824199435486,"MQ","original",15,0,0,0,0,0,0,0.55991351296281,0,3.63058219784498,0,2.98891932540446,0.474700012636668,0,0,0,0,0,0,0,0,0,0,0,0,0.543576366924549,0,0.962619072691629,0,0,0,3.02079996922708,0,0.705122664856741,0,0,0,0,0.522958413591839,0.502408817991025,0,0.791378869559624,1.15435107793627,0.604776126255393,0.728692568887243,0,0,0,0,0,0.461632100327169,0.77093329834669,0,0.890537762490264,1.19296354268206,1.83279002024536,0.378498678812782,1.11505316236899,1.76136682402761,0.35413753415967,1.01542762865731,1.2736624139784,1.85404908636399,0.662146573668078,0,0.634881874178397,0.800216407595567,0.488803142741466,0,0.640954805086818,0.546267096143472,0.720144125443026,0
"2","3-methyl-2-oxobutanoic acid",138.1,0.996791556627532,7,1.80447186204378,5.46809655164782,"MQ","original",21,0.199037322533187,0.061386768263054,0.126714935869344,0,0,0,0,0.0629038204507122,0.0803655062672616,0,0,0,0.0618174198509359,0,0.0596951779773739,0.151808760752905,0.138384916335601,0.137970304033605,0.0646356088341478,0.172313808752758,0.0808660251278257,0.143256228981793,0.180981445881756,0.164490184342414,0.047798646540439,0.0597118018942748,0.185149967011965,0.37278323364311,0.0839307242715805,0.257325284013753,0.187289649122432,0.0804184003357776,0.107684222948472,0.153300999496091,0.0941054189774877,0.0879377878329048,0,0,0,0.0499883227758244,0,0.0705197582199179,0.110279624585758,0,0.140622142693842,0.228454444711181,0.134976708433287,0.0884916959616565,0.153254665996766,0.0763457583829285,0,0.140517519396979,0.566373524126466,0.279296221884724,0.118248124773493,0.275546442187743,0.209903336561126,0.213263374536143,0.364864438822908,0.252549285220896,0.15432053485017,0.240946363209159,0.232591383342786,0.31156938231379,0.366249820689503,0.168638778756561,0.221892002713248,0.4372171067078,0.554026646272504,0.19135601367811,0.405674463319888,0.319628707630045
"3","4-hydroxybenzoic acid",138.12,0.998866482032652,4,0.201369682081321,0.610211157822185,"MQ","original",21,0.0646416542628684,0.0195145517432951,0.0250811164988579,0.0169372884676401,0.00674712981999396,0.00708136024545724,0.0197496756005513,0.0406835820274889,0.0366541180981877,0.0138542467531268,0.0147630384432303,0.0183583225873527,0.0381414110074951,0.0286903873960762,0.036104787217811,0.0193225128628045,0.0440870049365369,0.0197833353136529,0.00781707036890545,0.0320765050466659,0.00661147596151393,0,0,0,0.00997162820397945,0,0.00762377804416275,0,0,0,0.0131872416752348,0,0.0170673346113939,0,0,0,0.0132440808259347,0.00564454968603449,0,0.0176829321539358,0.0157597181459712,0,0,0.0212175540903016,0.0194118614301042,0.027404471499198,0.0398491770093011,0,0.0143592464560974,0.0337598470466162,0.0180189587427484,0.053703873250937,0.07958561858577,0.0580560685107197,0.0203075466559294,0.0457623309865298,0.0385608919519163,0.0263295656191747,0.0356237213849873,0.0261331472959788,0.0194186528234801,0.020733105760058,0.00921910262641517,0.0229308018608536,0,0.0074872611402758,0.0169622696441359,0,0.0273841271181135,0,0.0170563407206124,0.0118723671816603
"4","5'-methylthioadenosine",297.33,0.996150100661098,6,2.38742093662869,7.23460889887482,"MQ","original",24,0,0.0419743285674284,0.0597752002107749,0.0450942714526484,0.044707567512006,0.0298901469683957,0.0557159208201924,0.0546342123286036,0.0581813087724652,0.0434420375098836,0.0536802644604888,0.0588756577005876,0.0555015300740438,0.0443682213083414,0.0958777165859271,0.0358213230844351,0.046037062560368,0.0558045465865518,0,0.0463318332910237,0.0360666874342476,0.0457960707276565,0.044250710881308,0.0444494058658347,0.0272751608317883,0.0518501007124563,0.0476083967213991,0.105823934752407,0.0776277391682715,0.0800383532987851,0.0530056905129602,0.0393614177846758,0.0434398939820505,0.0807754800903982,0.082120048712979,0.0744137210163744,0.077876900512441,0.0861024922637241,0.0784140229160507,0.0744633026439749,0.11422584126638,0.0951877120714595,0.100931894159631,0.107643651956418,0.101437884796768,0.105845421643285,0.15298205630993,0.0919135652777319,0.124580156821871,0.0732525145621665,0.0955942878916372,0.109060839500862,0.229284777119041,0.0814340091382582,0.0782651510993822,0.106709899761651,0.0397898951949833,0.0770892191756869,0.154671356317641,0.0779389116173021,0.0749046723299085,0.113836009164962,0.0791665418863811,0.132383992571273,0.10899389255293,0.0724086449011518,0.0441626525378465,0.0614225970823316,0.107851137200676,0.189406723523452,0.136322655324636,0.163930094841125
"5","S-(5'-adenosyl)-L-homocysteine",384.41,0.994828985142145,5,1.68373690280263,5.10223303879584,"MQ","original",24,0,0.0317462270234956,0.0332145090322547,0.0485207822527675,0.0317430067601277,0.0637123609247752,0.0585280697228981,0.038006657781709,0.04317155551856,0.0522896888548254,0.0362242912120143,0.0379862183216483,0.050123971551254,0.0478253862070105,0.0517319644336958,0.043487238401406,0.0544379668625015,0.0343417271907544,0.0410443393916824,0.0330639498863931,0.0376874898847036,0.0355589043528685,0.0391639101080326,0.03814094532966,0.0359229041975712,0.0536982740709361,0.0691211424642296,0.0727421902180076,0.0745444509536122,0.071871512926154,0.0750042300521511,0.0495021285516896,0.0314781373899146,0.0479107978304502,0.0587282977267948,0.0571177956795806,0.108972677732336,0.0548379865066554,0.0460850826938321,0.114084815248104,0.139813758886739,0.0980587139100734,0.125910375820924,0.104125221678677,0.0852197097036996,0.0763636292898758,0.110351165039871,0.101860110345105,0.137444581067784,0.10509497489083,0.0678167578516523,0.130223723127669,0.16502715010746,0.151097551527295,0.0836840377199065,0.072682088991676,0.0220337871242457,0.0605248554592832,0.107989624117768,0.118601061469505,0.080882613321443,0.079697951558655,0.0924867699037424,0.0900668510473278,0.0760265470000342,0.0813025789789419,0.0283532883355046,0.0915161432554592,0.0950496969515931,0.112169397308788,0.0666005167820164,0.11454634488251
"6","S-adenosyl-L-methionine",526.35,0.954517832641744,6,40.469532765185,122.634947773288,"MQ","df10x",24,0,0.483191350520626,1.05433923638099,0.469292917046114,0.520140026059331,0.535423204748425,0.509731953360743,0.687193634857838,0.953123249757417,0.694285905758853,1.11343806921141,0.717556876444685,0.42552213824822,0.610939189866166,1.45508105379422,0.577509339837021,0.836605872383385,0.753006239871774,0,0.609088836283131,0.580749498670522,0.61188062707672,0.56077914238978,0.5079239396072,0.307104949491599,0.424984909912541,0.89252722536154,2.92022215865572,1.14366277144031,0.681361958467261,0.9960699299276,0.317593434811777,0.329642433777518,2.39801256745066,0.686221084653055,0.603522157464895,1.37753606694473,1.39988021893078,0.924066099317508,1.05164964455469,1.23165743450012,0.994976667343752,1.50106208379657,0.894832679672456,1.94140828252184,1.28862044905584,1.27771769642516,1.02915313452586,1.28170110088381,1.08441205688389,0.895703162194857,1.19697715628376,3.29143882990903,1.16338388209133,0.812354722178898,1.75759754491447,0.570346367142087,0.908635744197733,1.76247745104807,1.06360521341075,1.08771778952857,1.70162080098063,0.907565563689024,1.69405805470057,1.2853502110281,0.701026269410054,0.49442998287284,3.0320357648035,1.37648533556802,3.51618230828698,2.49443784691374,4.71009122089322
"7","UDP-glucose",610.27,0.994904185641789,5,16.780470028305,50.8499091766817,"MQ","original",21,0,0.160549154054686,0.32633711962457,0,0.269487418260316,0.470929604977743,0,0.129148933959454,0.209587533121842,0.484212388112026,0.314265911140757,0.282173594502393,0.193458336058952,0.432284352399262,0.294912003982315,0.290716076884307,0.158171171878499,0.326735735575007,0,0,0,0,0,0,0,0.142582130353161,0.291723202372536,0.348219442747243,0.255511405933643,0.382354008573967,0.231361693820155,0.113261216309667,0.186906593462086,0,0,0,0,0.363754832841531,0.276472202082646,0.841385833870479,0.723597773959883,1.02480881608269,0.202539156993566,0.416287861653318,0.324210805745334,0.432344515509879,0.254231639784189,0.289572318942626,0.603749395574999,0.59935432977179,0.397790661805356,0.471070524178456,0.175539548198602,0.495201453268497,0.202115087195258,0.144554329521732,0,0.197833814136723,0,0.31842420818196,0.325553545510037,0.181142728957369,0.334837849891387,0.18340898794719,0.201879858659872,0,0.0933469677686732,0,0.230593091942463,0.238130072470889,0.227099828080497,0.204281996017252
"8","adenine",135.13,0.974485231736213,6,2.98750571498809,9.05304762117602,"MQ","original",18,0,0,0,0,0,0,0,0,0,0.0937868133131757,0.0753477565839945,0,0,0.0829684680996484,0.119690734942061,0.0940953709074686,0,0.0848261138797664,0,0,0,0,0,0,0,0,0,0.231130748634029,0.152686067684099,0.220801662674169,0.0855872123035438,0,0.154569349289048,0.138149503356807,0.163353937665343,0,0.0679288923490427,0.119775435624329,0.12229301517674,0.180786444881769,0.339172197811227,0.238410139895724,0,0.226750093451923,0.20381265472486,0.148491414465405,0.156052497632388,0,0.290345776224718,0.321554439149132,0.223513156823038,0,0.155031491910723,0.301414810258676,0.114284899002865,0.159775879390483,0.125437002321901,0.352173454043981,0.108343883464131,0.106493578535444,0.337197534574216,0.357657472537682,0.29332920960377,0.324544983125254,0.399744518264448,0.091754380808113,0.116645510153406,0.154663540338251,0.126969447490145,0.270774512586348,0.250078838549389,0.131867461953106
"9","adenosine 5'-monophosphate",391.18,0.99173276805267,5,21.0549810340287,63.80297283039,"MQ","df10x",24,0,1.36920914143915,1.5619329506547,1.26610566102711,0,1.53740518037113,1.45248946304558,1.80839513113256,2.86004424132076,1.48514266989726,1.40659585447827,0.96793826577271,1.01118487984094,1.57540081532954,1.33425983092992,0.605112994662846,0.879856297662321,1.07738507332227,0.631860086452413,0.91217149400865,0.72946629748732,0.8924543794736,0.721093420901059,0.503726287178786,0.426297236530284,1.09435582241135,1.35646245827538,2.84585956711019,2.85612948040957,1.18294207926046,0,1.10208662263173,1.13533975843523,4.67856796164856,3.30979068965353,2.25762808933304,4.25493399774812,0,2.36182449140377,4.92035487196194,9.48130164975762,6.17512685779789,3.62951821906877,8.31438738914043,3.25943324501465,2.79178905855274,2.56006723918125,0,11.7169849827027,4.39011327745305,2.20434045058434,3.55723791121142,2.84984523091067,3.54899169426162,2.43279251731904,0,0.765513569752044,3.9410409571889,1.57288818687767,0,3.32031002525828,3.77085683913466,5.15523564037491,2.4058544566759,3.77269020109444,3.0268154777736,1.18003460925835,3.71481964684713,4.17213513461847,7.9681252593514,6.95503738189133,7.05129965311352
"10","alanine/beta-alanine/sarcosine",89.0477,0.993583473156185,9,9.1957338952768,27.8658602887176,"MQ","original",13,0,0,0,0,0,0,0,0,0,1.86155567278088,0,0.959861958431642,1.60084966280885,1.80474784385819,0,0,0,0,1.8755505693201,1.50461048308704,0.674502851862169,0,0,0,1.95556007352426,1.63661163581061,0,0,2.27033964427768,2.79758948253996,0,1.91083827987383,2.62417298544806,0,0,0,1.3380902305021,0,1.83151505998431,2.57646270204366,0,2.34929674648435,1.3381077208893,3.05208916309062,0,1.28493853712887,1.70258667501513,2.52976533470085,3.54084350884012,1.64995889186181,0,0,0,0,0,0,0,0,0,0,0.564592340611702,0,2.15189598588396,0,0,0,0.875722293253842,2.38091766257828,0.920961813414615,0,0,0
